EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,OverTime,JobSatisfaction,Attrition
EMP0369,30,Female,Sales,Sales Representative,49557,4,2,No,2,Yes
EMP0370,24,Female,Sales,Sales Representative,49435,2,0,No,3,No
EMP0371,46,Male,Sales,Sales Executive,77766,1,1,No,4,No
EMP0372,55,Male,Sales,Sales Executive,40162,10,1,No,3,No
EMP0373,33,Male,Sales,Sales Executive,74742,7,3,No,2,Yes
EMP0374,30,Female,Research & Development,Research Scientist,64675,5,3,No,1,Yes
EMP0375,36,Male,Sales,Sales Executive,48461,5,3,No,1,No
EMP0376,46,Male,Research & Development,Research Scientist,62015,1,1,No,3,No
EMP0377,26,Male,Finance,Financial Analyst,80591,4,2,Yes,3,No
EMP0378,32,Male,Sales,Sales Executive,68047,10,4,Yes,4,Yes
EMP0379,55,Male,Finance,Accountant,82782,11,2,Yes,1,Yes
EMP0380,45,Male,Sales,Sales Representative,49833,6,0,Yes,3,No
EMP0381,36,Male,Sales,Sales Executive,47896,14,5,No,3,Yes
EMP0382,29,Female,Research & Development,Laboratory Technician,77972,7,3,No,3,Yes
EMP0383,26,Male,Research & Development,Software Engineer,94733,4,2,Yes,3,No
EMP0384,47,Male,Finance,Financial Analyst,89800,8,4,No,3,No
EMP0385,39,Female,Human Resources,HR Specialist,68508,5,0,Yes,3,No
EMP0386,27,Female,Finance,Financial Analyst,53347,1,1,No,1,No
EMP0387,34,Male,Sales,Sales Representative,70314,9,1,No,3,No
EMP0388,49,Male,Sales,Sales Representative,42643,1,1,No,1,Yes
EMP0389,26,Male,Human Resources,HR Manager,56681,4,0,Yes,3,No
EMP0390,34,Female,Finance,Accountant,86328,5,3,No,3,No
EMP0391,38,Female,Marketing,Content Creator,53892,3,2,No,3,No
EMP0392,53,Female,Research & Development,Research Scientist,92299,11,0,No,4,No
EMP0393,50,Female,Research & Development,Laboratory Technician,62073,7,1,No,4,No
EMP0394,24,Female,Human Resources,HR Specialist,74768,2,2,No,4,No
EMP0395,55,Male,Research & Development,Software Engineer,75682,9,4,Yes,3,Yes
EMP0396,48,Male,Marketing,Content Creator,70262,7,2,No,3,No
EMP0397,34,Female,Finance,Financial Analyst,79358,12,4,No,3,No
EMP0398,54,Female,Research & Development,Laboratory Technician,59289,11,4,No,4,Yes
EMP0399,27,Male,Human Resources,HR Specialist,45927,5,0,Yes,3,Yes
EMP0400,45,Female,Human Resources,HR Manager,39171,3,3,No,4,No
EMP0401,40,Male,Sales,Sales Representative,51918,11,2,No,4,No
EMP0402,37,Male,Marketing,Content Creator,49929,13,0,No,3,No
EMP0403,49,Male,Research & Development,Research Scientist,47539,14,3,Yes,2,Yes
EMP0404,54,Male,Finance,Accountant,84727,13,0,No,1,No
EMP0405,34,Female,Research & Development,Laboratory Technician,90951,1,1,Yes,4,No
EMP0406,46,Male,Finance,Financial Analyst,70669,8,0,No,2,No
EMP0407,57,Female,Research & Development,Research Scientist,50432,12,4,No,4,No
EMP0408,48,Female,Sales,Sales Representative,60644,3,3,No,3,No
EMP0409,28,Female,Marketing,Content Creator,56745,6,2,No,3,No
EMP0410,26,Male,Sales,Sales Representative,68228,4,2,No,4,No
EMP0411,52,Male,Research & Development,Laboratory Technician,79521,8,3,No,3,No
EMP0412,44,Male,Marketing,Marketing Specialist,69703,13,4,Yes,3,No
EMP0413,31,Female,Marketing,Marketing Specialist,64928,5,1,No,3,No
EMP0414,53,Female,Research & Development,Research Scientist,63322,13,0,No,2,Yes
EMP0415,51,Male,Research & Development,Laboratory Technician,67360,12,4,No,3,No
EMP0416,52,Female,Research & Development,Laboratory Technician,74055,13,5,Yes,2,Yes
EMP0417,39,Male,Sales,Sales Representative,82891,1,1,No,4,No
EMP0418,57,Female,Research & Development,Software Engineer,61376,13,0,No,4,No
EMP0419,23,Male,Research & Development,Software Engineer,51588,1,1,Yes,2,No
EMP0420,35,Female,Human Resources,HR Manager,63000,7,1,No,3,No
EMP0421,34,Male,Human Resources,HR Specialist,44304,12,5,Yes,3,Yes
EMP0422,50,Female,Human Resources,HR Specialist,45345,10,2,No,2,No
EMP0423,33,Female,Sales,Sales Representative,69300,5,3,Yes,4,No
EMP0424,23,Female,Research & Development,Research Scientist,69259,1,0,Yes,1,No
EMP0425,53,Male,Sales,Sales Representative,65470,9,3,No,2,No
EMP0426,34,Male,Research & Development,Laboratory Technician,68017,11,0,No,3,No
EMP0427,48,Male,Research & Development,Software Engineer,60352,14,4,No,3,No
EMP0428,38,Male,Finance,Accountant,81365,7,1,Yes,3,No
EMP0429,52,Male,Research & Development,Laboratory Technician,64446,14,4,No,3,No
EMP0430,55,Female,Sales,Sales Executive,42336,13,4,No,3,No
EMP0431,45,Female,Sales,Sales Representative,49879,7,3,No,3,No
EMP0432,56,Male,Human Resources,HR Specialist,70316,1,1,Yes,1,Yes
EMP0433,27,Male,Research & Development,Laboratory Technician,78340,4,0,No,2,No
EMP0434,40,Male,Sales,Sales Executive,47521,2,0,No,2,Yes
EMP0435,51,Female,Sales,Sales Executive,46171,2,2,No,2,No
EMP0436,28,Male,Human Resources,HR Specialist,61481,2,2,Yes,3,No
EMP0437,31,Female,Sales,Sales Executive,58474,4,4,No,2,Yes
EMP0438,53,Male,Finance,Financial Analyst,69008,14,5,No,2,No
EMP0439,55,Female,Human Resources,HR Specialist,39633,1,0,No,2,Yes
EMP0440,49,Female,Sales,Sales Executive,52485,4,3,Yes,4,No
EMP0441,36,Male,Sales,Sales Executive,83617,2,2,No,4,No
EMP0442,51,Female,Marketing,Content Creator,41648,5,4,Yes,3,No
EMP0443,50,Male,Research & Development,Software Engineer,92945,3,3,No,4,No
EMP0444,43,Female,Research & Development,Research Scientist,58140,12,1,No,3,No
EMP0445,25,Male,Finance,Accountant,65921,3,0,Yes,3,No
EMP0446,41,Female,Marketing,Content Creator,52357,4,3,No,1,No
EMP0447,53,Female,Marketing,Marketing Specialist,41137,1,1,Yes,3,No
EMP0448,57,Female,Human Resources,HR Specialist,38097,1,1,No,3,No
EMP0449,25,Female,Research & Development,Laboratory Technician,56407,3,3,No,3,No
EMP0450,48,Male,Sales,Sales Representative,70575,10,5,No,3,No
EMP0451,38,Male,Human Resources,HR Manager,50722,3,3,Yes,3,No
EMP0452,33,Male,Research & Development,Laboratory Technician,57924,9,3,No,3,No
EMP0453,43,Male,Research & Development,Laboratory Technician,48750,7,4,No,4,No
EMP0454,38,Female,Marketing,Marketing Specialist,65733,2,2,No,2,No
EMP0455,31,Male,Sales,Sales Representative,48535,9,5,No,3,Yes
EMP0456,22,Female,Research & Development,Software Engineer,69487,0,0,No,3,No
EMP0457,43,Female,Sales,Sales Representative,70651,10,0,No,3,No
EMP0458,47,Female,Research & Development,Laboratory Technician,49666,2,2,No,3,No
EMP0459,39,Male,Sales,Sales Executive,56994,3,3,Yes,1,Yes
EMP0460,35,Female,Sales,Sales Executive,41727,11,3,No,3,No
EMP0461,50,Female,Sales,Sales Executive,74622,13,2,No,2,No
EMP0462,33,Male,Research & Development,Software Engineer,55800,10,2,No,3,No
EMP0463,57,Female,Human Resources,HR Specialist,56708,14,4,No,3,No
EMP0464,56,Female,Research & Development,Laboratory Technician,57819,2,0,No,3,No
EMP0465,33,Male,Marketing,Content Creator,47369,3,0,Yes,1,No
EMP0466,28,Male,Research & Development,Research Scientist,54283,6,5,No,3,No
EMP0467,50,Male,Sales,Sales Representative,70573,9,5,No,2,No
EMP0468,32,Male,Finance,Financial Analyst,61171,9,1,No,4,No
EMP0469,54,Male,Sales,Sales Executive,70933,7,4,Yes,4,Yes
EMP0470,27,Male,Marketing,Marketing Specialist,43774,5,3,Yes,4,Yes
EMP0471,36,Male,Sales,Sales Executive,46519,3,3,Yes,3,No
EMP0472,53,Male,Marketing,Marketing Specialist,48983,4,1,No,3,No
EMP0473,32,Female,Sales,Sales Executive,70932,6,5,Yes,2,Yes
EMP0474,44,Male,Finance,Financial Analyst,78798,11,4,No,2,No
EMP0475,47,Female,Research & Development,Software Engineer,63133,5,4,No,3,No
EMP0476,55,Male,Marketing,Content Creator,52939,2,2,Yes,3,No
EMP0477,55,Male,Sales,Sales Representative,40781,13,1,No,4,Yes
EMP0478,50,Male,Research & Development,Software Engineer,94050,6,5,No,2,Yes
EMP0479,25,Male,Marketing,Content Creator,65624,3,0,No,4,No
EMP0480,38,Male,Research & Development,Research Scientist,51823,14,3,No,3,No
EMP0481,56,Female,Research & Development,Laboratory Technician,63489,8,5,No,3,No
EMP0482,34,Male,Research & Development,Software Engineer,84961,2,1,No,2,No
EMP0483,36,Female,Research & Development,Research Scientist,74118,1,1,No,1,No
EMP0484,50,Female,Research & Development,Software Engineer,79881,9,0,No,3,No
EMP0485,50,Male,Research & Development,Software Engineer,61280,14,2,Yes,3,No
EMP0486,32,Male,Marketing,Marketing Specialist,60263,10,5,No,2,No
EMP0487,53,Female,Sales,Sales Executive,53565,3,0,No,3,No
EMP0488,23,Male,Sales,Sales Executive,60354,1,1,No,4,No
EMP0489,35,Male,Marketing,Content Creator,63643,1,1,Yes,4,No
EMP0490,41,Female,Finance,Financial Analyst,71648,7,3,No,4,No
EMP0491,43,Male,Research & Development,Laboratory Technician,86971,13,4,Yes,2,Yes
EMP0492,32,Female,Research & Development,Research Scientist,63658,10,2,No,2,No
EMP0493,48,Female,Sales,Sales Representative,61253,5,0,No,3,No
EMP0494,24,Male,Sales,Sales Executive,66390,2,2,Yes,3,No
EMP0495,38,Male,Research & Development,Research Scientist,68128,14,1,No,1,No
EMP0496,49,Male,Research & Development,Laboratory Technician,58489,1,1,No,2,No
EMP0497,50,Male,Research & Development,Research Scientist,83314,9,1,No,3,No
EMP0498,42,Male,Sales,Sales Representative,72658,7,5,No,2,No
EMP0499,37,Female,Marketing,Marketing Specialist,44852,8,0,Yes,2,No
EMP0500,41,Male,Marketing,Marketing Specialist,67450,9,3,Yes,2,No
